Vancouver, Tokyo, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cdeparture%3A{month}%2F{day}%2F{year}TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Tokyo, Vancouver, https://www.expedia.com/Flights-Search?leg1=from%3ATokyo%20%28TYO%20-%20All%20Airports%29%2Cto%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cdeparture%3A{month}%2F{day}%2F{year}TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, New York, https://www.expedia.com/Flights-Search?flight-type=on&mode=search&trip=oneway&leg1=from%3AVancouver+%28YVR+-+Vancouver+Intl.%29%2Cto%3ANew+York+%28JFK+-+John+F.+Kennedy+Intl.%29%2Cdeparture%3A{month}%2F{day}%2F{year}TANYT&options=cabinclass%3Aeconomy&passengers=children%3A0%2Cadults%3A1%2Cseniors%3A0%2Cinfantinlap%3AY&fromDate={month}%2F{day}%2F{year}&d1={year}-{month}-{day}
New York, Vancouver, https://www.expedia.com/Flights-Search?leg1=from%3ANew%20York%20%28JFK%20-%20John%20F.%20Kennedy%20Intl.%29%2Cto%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cdeparture%3A{month}%2F{day}%2F{year}TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, Seoul, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%2C%20BC%20%28YVR-Vancouver%20Intl.%29%2Cto%3ASeoul%20%28ICN-Incheon%20Intl.%29%2Cdeparture%3A{month}%2F{day}%2F{year}TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Seoul, Vancouver, https://www.expedia.com/Flights-Search?leg1=from%3ASeoul%20%28ICN%20-%20Incheon%20Intl.%29%2Cto%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cdeparture%3A{month}%2F{day}%2F{year}TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, London, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ALondon%20%28LHR%20-%20Heathrow%29%2Cdeparture%3A{month}%2F{day}%2F{year}TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
London, Vancouver, https://www.expedia.com/Flights-Search?leg1=from%3ALondon%20%28LHR%20-%20Heathrow%29%2Cto%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cdeparture%3A{month}%2F{day}%2F{year}TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, Los Angeles, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ALos%20Angeles%20%28LAX%20-%20Los%20Angeles%20Intl.%29%2Cdeparture%3A{month}%2F{day}%2F{year}TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Los Angeles, Vancouver, https://www.expedia.com/Flights-Search?leg1=from%3ALos%20Angeles%20%28LAX%20-%20Los%20Angeles%20Intl.%29%2Cto%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cdeparture%3A{month}%2F{day}%2F{year}TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, San Fransisco, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3ASan%20Francisco%20%28SFO%20-%20San%20Francisco%20Intl.%29%2Cdeparture%3A{month}%2F{day}%2F{year}TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
San Fransisco, Vancouver, https://www.expedia.com/Flights-Search?leg1=from%3ASan%20Francisco%20%28SFO%20-%20San%20Francisco%20Intl.%29%2Cto%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cdeparture%3A{month}%2F{day}%2F{year}TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Vancouver, Chicago, https://www.expedia.com/Flights-Search?leg1=from%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cto%3AChicago%20%28ORD%20-%20O%27Hare%20Intl.%29%2Cdeparture%3A{month}%2F{day}%2F{year}TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
Chicago, Vancouver,  https://www.expedia.com/Flights-Search?leg1=from%3AChicago%20%28ORD%20-%20O%27Hare%20Intl.%29%2Cto%3AVancouver%20%28YVR%20-%20Vancouver%20Intl.%29%2Cdeparture%3A{month}%2F{day}%2F{year}TANYT&mode=search&options=carrier%3A%2A%2Ccabinclass%3A%2Cmaxhops%3A1%2Cnopenalty%3AN&pageId=0&passengers=adults%3A1%2Cchildren%3A0%2Cinfantinlap%3AN&trip=oneway
